Attraction Name,Latitude,Longitude,State,Type
Central Park,40.7825547,-73.9655834,New York,park
The National 9/11 Memorial & Museum,40.7115776,-74.0133362,New York,museum
Empire State Building,40.7484405,-73.98566439999999,New York,museum
Fountains of Bellagio,36.11271869999999,-115.1739109,Nevada,point_of_interest
Alcatraz Island,37.8269775,-122.4229555,California,point_of_interest
The Metropolitan Museum of Art,40.7794366,-73.963244,New York,museum
The High Line,40.7479925,-74.0047649,New York,park
The National WWII Museum,29.9430711,-90.07053169999999,Louisiana,museum
Louisville Mega Cavern,38.2012259,-85.703929,Kentucky,point_of_interest
Golden Gate Bridge,37.8199109,-122.4785598,California,point_of_interest
Universal Islands of Adventure,28.471842,-81.4708881,Florida,establishment
Statue of Liberty,40.6892494,-74.04450039999999,New York,point_of_interest
USS Midway Museum,32.7137398,-117.1751265,California,museum
San Diego Zoo,32.7360353,-117.1509849,California,point_of_interest
Sugarlands Distilling Company,35.7114964,-83.5186337,Tennessee,point_of_interest
Grand Central Terminal,40.7533582,-73.9768041,New York,point_of_interest
The Wizarding World of Harry Potter at Universal Orlando Resort,28.4796116,-81.4693747,United States,establishment
The Art Institute of Chicago,41.8795845,-87.62371329999999,Illinois,museum
Grand Canyon South Rim,36.0604246,-112.1076024,Arizona,park
Brooklyn Bridge,40.7060855,-73.9968643,New York,landmark
Chihuly Garden and Glass,47.6205599,-122.3504476,Washington,museum
Biltmore,35.5527514,-82.56369049999999,North Carolina,museum
Red Rock Canyon National Conservation Area,36.1944273,-115.4382967,Nevada,park
Discovery Cove,28.4050951,-81.4631122,Florida,establishment
‪Diamond Head State Monument,21.2637984,-157.8040943,Hawaii,park
NASA Kennedy Space Center Visitor Complex,28.6144578,-80.694108,Florida,establishment
USS Arizona Memorial,21.3647161,-157.949902,Hawaii,museum
Fenway Park,42.3466764,-71.0972178,Massachusetts,point_of_interest
Millennium Park,41.8825524,-87.62255139999999,Illinois,park
Grand Ole Opry,36.2068571,-86.69210849999999,Tennessee,point_of_interest
Garden of the Gods,38.8717933,-104.8861757,Colorado,park
San Antonio River Walk,29.4229737,-98.48603399999999,Texas,park
