Attraction Name,Latitude,Longitude,State,Type,Weather,Temperature
Central Park,40.7825547,-73.9655834,New York,park,Mostly Clear,33.0
The National 9/11 Memorial & Museum,40.7115776,-74.0133362,New York,museum,Mostly Clear,33.0
Empire State Building,40.7484405,-73.98566439999999,New York,museum,Mostly Clear,33.0
Fountains of Bellagio,36.11271869999999,-115.1739109,Nevada,point_of_interest,Partly Cloudy,43.0
Alcatraz Island,37.8269775,-122.4229555,California,point_of_interest,Partly Cloudy,51.0
The Metropolitan Museum of Art,40.7794366,-73.963244,New York,museum,Mostly Clear,33.0
The High Line,40.7479925,-74.0047649,New York,park,Mostly Clear,32.0
The National WWII Museum,29.9430711,-90.07053169999999,Louisiana,museum,Partly Cloudy,43.0
Louisville Mega Cavern,38.2012259,-85.703929,Kentucky,point_of_interest,Clear,28.0
Golden Gate Bridge,37.8199109,-122.4785598,California,point_of_interest,Partly Cloudy,48.0
Universal Islands of Adventure,28.471842,-81.4708881,Florida,establishment,Partly Cloudy,48.0
Statue of Liberty,40.6892494,-74.04450039999999,New York,point_of_interest,Mostly Clear,33.0
USS Midway Museum,32.7137398,-117.1751265,California,museum,Partly Cloudy then Patchy Fog,50.0
San Diego Zoo,32.7360353,-117.1509849,California,point_of_interest,Partly Cloudy then Patchy Fog,51.0
Sugarlands Distilling Company,35.7114964,-83.5186337,Tennessee,point_of_interest,Clear,26.0
Grand Central Terminal,40.7533582,-73.9768041,New York,point_of_interest,Mostly Clear,33.0
The Wizarding World of Harry Potter at Universal Orlando Resort,28.4796116,-81.4693747,United States,establishment,Partly Cloudy,48.0
The Art Institute of Chicago,41.8795845,-87.62371329999999,Illinois,museum,Mostly Clear,31.0
Grand Canyon South Rim,36.0604246,-112.1076024,Arizona,park,Mostly Cloudy,24.0
Brooklyn Bridge,40.7060855,-73.9968643,New York,landmark,Mostly Clear,33.0
Chihuly Garden and Glass,47.6205599,-122.3504476,Washington,museum,Mostly Cloudy,38.0
Biltmore,35.5527514,-82.56369049999999,North Carolina,museum,Mostly Clear,22.0
Red Rock Canyon National Conservation Area,36.1944273,-115.4382967,Nevada,park,Mostly Cloudy,36.0
Discovery Cove,28.4050951,-81.4631122,Florida,establishment,Partly Cloudy,48.0
‪Diamond Head State Monument,21.2637984,-157.8040943,Hawaii,park,Partly Cloudy then Isolated Rain Showers,71.0
NASA Kennedy Space Center Visitor Complex,28.6144578,-80.694108,Florida,establishment,Partly Cloudy,52.0
USS Arizona Memorial,21.3647161,-157.949902,Hawaii,museum,Mostly Clear,72.0
Fenway Park,42.3466764,-71.0972178,Massachusetts,point_of_interest,Mostly Clear,29.0
Millennium Park,41.8825524,-87.62255139999999,Illinois,park,Mostly Clear,31.0
Grand Ole Opry,36.2068571,-86.69210849999999,Tennessee,point_of_interest,Clear,28.0
Garden of the Gods,38.8717933,-104.8861757,Colorado,park,Mostly Cloudy,23.0
San Antonio River Walk,29.4229737,-98.486034,Texas,park,Mostly Clear,45.0
Lincoln Memorial,38.8892686,-77.050176,District of Columbia,park,Clear,28.0
Manhattan Skyline,40.76353690000001,-73.9780136,United States,point_of_interest,Mostly Clear,33.0
Graceland,35.0476912,-90.02604930000001,Tennessee,museum,Clear,35.0
Hollywood Beach,26.0086787,-80.1170355,Florida,political,Mostly Cloudy,68.0
Freedom Trail,42.3668926,-71.0585022,Massachusetts,route,Mostly Clear,29.0
The Getty Center,34.07803579999999,-118.4740954,California,museum,Partly Cloudy,48.0
Griffith Observatory,34.1184341,-118.3003935,California,museum,Partly Cloudy,48.0
Horseshoe Bend,36.8790612,-111.5103627,Arizona,natural_feature,Mostly Cloudy,29.0
The Haygoods,36.6373634,-93.2796249,Missouri,point_of_interest,Clear,32.0
Bellagio Conservatory & Botanical Garden,36.1119912,-115.1765648,Nevada,park,Partly Cloudy,43.0
Pearl Harbor National Memorial,21.3675985,-157.938858,Hawaii,museum,Mostly Clear,72.0
Georgia Aquarium,33.763382,-84.3951098,Georgia,establishment,Clear,31.0
Ole Smoky Distillery & Yee-Haw Brewery,35.711171,-83.519503,Tennessee,point_of_interest,Clear,26.0
One World Observatory,40.7130062,-74.013173,New York,point_of_interest,Mostly Clear,33.0
High Roller,36.1176324,-115.168294,Nevada,point_of_interest,Partly Cloudy,43.0
Bryant Park,40.7535367,-73.9829529,New York,park,Mostly Clear,33.0
The Ernest Hemingway Home and Museum,24.5511923,-81.8006162,Florida,museum,Mostly Cloudy,66.0
Savannah Historic District,32.0761241,-81.0990759,Georgia,point_of_interest,Clear,38.0
Rockefeller Center,40.7587402,-73.9786736,New York,point_of_interest,Mostly Clear,33.0
Pike Place Market,47.6088107,-122.3415706,Washington,political,Mostly Cloudy,40.0
Country Music Hall of Fame and Museum,36.1582632,-86.7761258,Tennessee,museum,Clear,28.0
Key West Butterfly and Nature Conservatory,24.5475638,-81.79682489999999,Florida,park,Mostly Cloudy,66.0
Ryman Auditorium,36.1612481,-86.7784714,Tennessee,museum,Clear,28.0
La Jolla Cove,32.8503895,-117.2729435,California,natural_feature,Patchy Fog,52.0
Space Needle,47.6205063,-122.3492774,Washington,point_of_interest,Mostly Cloudy,38.0
Smithsonian National Museum of Natural History,38.8912662,-77.0260654,District of Columbia,museum,Clear,28.0
Clearwater Beach,27.972065,-82.8285877,Florida,political,Partly Cloudy,50.0
Balboa Park,32.7341479,-117.144553,California,museum,Partly Cloudy then Patchy Fog,51.0
New York Public Library,40.7127753,-74.0059728,New York,political,Mostly Clear,33.0
The Museum of Modern Art (MoMA),40.7614327,-73.97762159999999,New York,establishment,Mostly Clear,33.0
Cloud Gate,41.8826572,-87.6233039,Illinois,point_of_interest,Mostly Clear,31.0
The Alamo,29.4259671,-98.4861419,Texas,museum,Mostly Clear,45.0
Mount Rushmore National Memorial,43.8803357,-103.4537746,South Dakota,park,Mostly Cloudy,23.0
Skydeck Chicago - Willis Tower,41.87887610000001,-87.635915,Illinois,museum,Mostly Clear,31.0
Monterey Bay Aquarium,36.6182017,-121.9019479,California,establishment,Mostly Cloudy,47.0
The Magnificent Mile,41.894809,-87.6242142,Illinois,political,Mostly Clear,31.0
Jackson Square,29.9574024,-90.0629495,Louisiana,park,Partly Cloudy,44.0
Pier 39,37.80867300000001,-122.409821,California,point_of_interest,Partly Cloudy,51.0
Stetson Mansion,29.0232412,-81.3230028,Florida,point_of_interest,Partly Cloudy,45.0
Colonial Williamsburg,37.2707022,-76.7074571,Virginia,political,Mostly Clear,27.0
Frenchmen Street,29.9641516,-90.0577984,Louisiana,route,Partly Cloudy,44.0
Saugatuck Dune Rides,42.6769887,-86.183696,Michigan,point_of_interest,Mostly Cloudy,32.0
The Island in Pigeon Forge,35.8011618,-83.564725,Tennessee,route,Clear,23.0
The Gateway Arch,38.6251269,-90.1867504,Missouri,point_of_interest,Clear,32.0
Waikiki Beach,21.2793462,-157.8291847,Hawaii,political,Mostly Clear,73.0
Lincoln Road,25.7907514,-80.1318328,Florida,route,Mostly Cloudy,66.0
Disney California Adventure Park,33.806112,-117.920859,California,establishment,Partly Cloudy then Patchy Fog,49.0
Vietnam Veterans Memorial,38.8912933,-77.04771319999999,District of Columbia,park,Clear,28.0
Busch Gardens,28.037066,-82.4194607,Florida,establishment,Partly Cloudy,45.0
Lombard Street,37.8020074,-122.4195532,California,route,Mostly Cloudy,49.0
McCarthy's Wildlife,26.7676686,-80.2459484,Florida,point_of_interest,Partly Cloudy,59.0
17-Mile Drive,36.6036929,-121.9451473,California,route,Mostly Cloudy,46.0
Mallory Square,24.5598677,-81.8076774,Florida,point_of_interest,Mostly Cloudy,66.0
Santa Monica Pier,34.0082821,-118.4987585,California,point_of_interest,Partly Cloudy,47.0
Duval Street,24.5590987,-81.8052301,Florida,route,Mostly Cloudy,66.0
Bayside Marketplace,25.7784025,-80.18679379999999,Florida,point_of_interest,Mostly Cloudy,66.0
Ocean Drive,25.7685168,-80.1332062,Florida,route,Mostly Cloudy,67.0
Tennessee Homemade Wines,35.8327422,-83.56840079999999,Tennessee,establishment,Clear,23.0
Little Bear Winery,35.7129156,-83.5145656,Tennessee,food,Clear,26.0
Mountain Valley Winery,35.8180324,-83.5793169,United States,food,Clear,23.0
